teks|label
"""ingin mati saja----""
""astaghfirullah ukhti, dan janganlah kamu membunuh dirimu; sesungguhnya allah adalah maha penyayang kepadamu. ada di quran surat an-nisa ayat 29.""  terima kasih"|normal
"""tidak bole nyerah""
""tidak bole nyerah""
eh lu tahu rasanya lelah sama semua?
lu tahu rasanya mati rasa?
lu tahu rasanya dibunuh mental sama keluarga lo sendiri ngga?!"|waspada
/jbrfess/ rek aku ingin mati rasanya, tp aku ada baby, klo aku pergi dia nanti jd piatu dong yah.. duh lagian sok-sokan sekali aku kyk punya banyak pahala saja hehe|waspada
@18fesss kalo dah nyoba banyak tips, saran, masukan belum luluh juga mending kalian udahan deh. perasaan yang lelah, lelah, hingga hampirmenyerah karena restu gajelas pada akhirnya bisa menumpulkan rasa di hati. ketika restu akhirnya turun kalian mungkin sudah mati rasa satu sama lain.|normal
@adearmando61 itu cuma kerikil brow. lu saja yang kegatelen ingin cepet-cepet dapat jabata dr prabowo. ingat kejadian wkt itu. nyawa lu gw tolong. tahu lu bakal begini, mati saja lu saat itu.|normal
"@afifahafra79 namnay manusia luoa sama kodratnya
yang putih bejemur jadi cokalt
yang coklat pingi putih pakai skincare
yang kuning ingin atidak cokalt biar sexy
yang hitam ingin atidak bening
kriting oingin lurus yang lurus dikritingin
cma yang hidup saja tidak pada ingin mati 
wkkkkk"|normal
"@aissslaaa @pln_123 di makassar juga mati lampu terooooooos, sudah 2 bulan  tidak tahu‍♀️ tidak tahu‍♀️ tidak tahu‍♀️
tiap hari 3 jam mati, skrg 6 jam. solusinya manaaaaa? lelah kerja pulang-pulang mati lampu rasanya ingin ngamuk. weekend tetep mati lampu dahlah gelut saja."|normal
@aqsa_loverr jadi klo listrik mati jangan pakai lilin tapi obor bambu,nah jika tiru kafir kenapa pakai listrik dan mikrofon yang penemunya kafir,bilang saja iri bos tanda tidak mampu,,ingin suci itu bukan melarang tapi diri sendiri tunjukan tidak jadi pelarang dan pelanggar|normal
"@awank-awank017  diamlah biar saja
ingin tahu seperti yang lalu
dia jadi apa.

h alusinasi 
r asakan
s elangkangan.
kabur ke arab 
di usir pula.
kasus 50
mati sia sia.
bo cor ke mana p enis
411 empet salah satu
umat bejat/rusak moral
@piyussaja-piyusaja"|normal
@babufess lebihmenangis fontaine kalo aku. sumeru emang sedih tapi for me kayak yasudah gt. yang paling buat akumenangis itu pas sisi furina terungkap yang bilang lelah,menyerah, sepi, tidak punya siapa-siapa. trus pas focalor mati trus pamitan ke neu dan furina  menangis menangis menangis|normal
@bacotwn lelah, ya? tidak apa-apa. asal lo tidakmenyerah saja sama jiwa lo yang sudah  amati' itu. aku tahu kalau lo ingin cepatan 'pulang'. tapi tolong jangan 'pulang' duluan sebelum benar benar 'dipanggil'.|normal
@be_sweet12 benar-benar tidak ni? apa rasanya saja yang ingin mati?|waspada
"@bts_twt kak yoon, aku lg di fase mls sekali ketemu temen"" aku. aku khawatir &amp; takut akan byk hal.. sering sekali pgnmenyerah, tp kalopun aku mati semuanya tidak bakal baik"" saja. merasa hidup susah tp buat matipun tidak bisa. lelah kak yoon.. aku bahkan tidak tahu aku kenapa. rasanya pgnmenangis trs"|waspada
@bts_twt kak, duit tidak dibawa mati kan? tidak apa-apa kan kalo aku tidak punya cita-cita buat jadi kaya? tidak apa-apa kan kalo nnti kamu konser disini aku tidak nonton?? lelah, aku inginmenyerah. nyari duit sesusah ini ternyata. buat makan saja aku susah aplgi buat gapai mimpi aku. maaf|waspada
@cacaggukbwii hidup emang lelah, tapi lebih lelah kalo kita mati tapi di akhirat tidak bisa berbuat apa-apa buat memperbaiki. kta masih hidup berarti tuhan tahu kita kuat. selama km masih bernafas semua masih baik-baik saja karna apapun itu pasti ada jalan keluarnya. janganmenyerah ya, hidup km itu brharga|normal
@chaeiwin aa keyy peluk jauh. lelah pasti kann? janganmenyerah dulu yaa.. siapa tahu abis ini unpad luluh sama kamu🥹 kalo dia masih tidak mau luluh, sudah yuk tinggalin saja dia. sudah diperjuangan sampai mati matian dia tidak mau dikejer. yasudah gantian biar dia ngejer kamu. nyesel unpad pasti🥹|normal
"@chrls_wndsr @noah_neustadt @barrsbars @lolipop3nak @sosmedkeras apalagi klo pake jasa... 
bisa bisa tiap hari ngomongnya ingin mati terus. 

ini saja sering pusing bilangnya ingin mati  senyum"|normal
@cingreborn cipa ini pasti sayang sekali sama iky, yakin masih perjuangin tuh cw smp dia ada di titik lelah,menyerah. biasanya move onnya lbh cpt karena perasaanya semakin mati seiring dia nyoba bertahan. semoga dia nanti ketemu jodoh yang terbaik cinta|normal
"@convomf lelah pisan min :"") kemarin tgl 15 sblm ngantormenangis , tp harus tetep kuat karena kl akumenyerah, yang mati ada 4 nyawa"|waspada
@crimsonreiin rakyat yang mau makan nasi saja ada yang tidak mampu. mereka yang kudu kerja mati matian biar bisa biayain keluarga mereka buat makan, terus masih kudu bayar pajak. ini bajingan bajingan malah makan mahal, hidup hedon  senyum apa tidak ingin mukulin rasanya?|normal
"@draftanakunpad dateng ke rs, panti jompo, panti asuhan, dan liat mereka yang berjuang mati-matian buat hidup.

kalo lelah istirahat, bukanmenyerah.
it is just bad day, not bad life."|normal
@ds_esign @pns_garis_lucu harta banyak kl anak nakal astaghfirullah. pastinya org tua ingin mati saja seketika itu.|normal
@dthoughttss @gaysexu aku mati topik cok menangis, ingin dengerin org org cakap saja gitu|normal
@folkshittmedia yah... kalo jadi bayi nya aku juga ingin mati saja, enak masuk surga, sekarang ingin mati takut sama dosa sendiri  menangis|normal
@fotodakwah kita tidak ingin meminta doa si mayit kok min, cuma ingin ziarah saja dan menginggat mati pastinya. tapi tidak terus ingin bunuh diri juga sih|normal
"@guard00347 @kegblgnunfaedh aduh aku sebleun meninggal ingin sekali ketemu anakku yang kubuang dulu 
maafin mama ya nak
bla bla bla
mati saja loe ngentod"|normal
@gummytaebear kak, kalo lelah istirahat yaa. janganmenyerah dulu soalnya aku cinta mati sama mini chiffon yang basic cakenya cheese apalagi buat ngerayain moment berhartidak kaya ultah! 🥹 cinta|normal
